采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017-05-19,鑫合汇,61841.87,7.1%,13573,0.53,1197,2.50,501233.71,22421.81
2017-05-19,陆金服,49379.66,8.01%,10802,32.09,5817,0.00,13196555.55,0
2017-05-19,红岭创投,30835.52,7.19%,0,1.01,2440,7.82,2194139.59,-12296.02
2017-05-19,微贷网,27654.01,7.73%,12775,3.06,3948,1.18,1536896.59,2514.83
2017-05-19,小赢理财,22435.27,7.26%,10558,8.52,33520,2.49,1666600.62,11274.28
2017-05-19,团贷网,18641.95,9.15%,26910,3.44,1813,0.16,56356.38,2537.17
2017-05-19,PPmoney理财,16525.18,10.16%,16725,8.05,18565,1.19,1904230.91,9619.04
2017-05-19,凤凰金融,16255.14,6.59%,2269,10.16,424,225.16,1693508.35,10670.84
2017-05-19,宜人贷,15114.05,11.7%,84506,32.23,2340,0.60,3267599.98,0
2017-05-19,宜贷网,14012.15,12.19%,4705,8.29,1389,4.09,374396.81,2558.2
2017-05-19,向上金服,13053.78,10.8%,0,1.81,48,0,1930223.72,13027.72
2017-05-19,小牛在线,11679.51,9.25%,5398,7.01,480,20.75,1173714.63,8831.02
2017-05-19,聚宝R,11185.95,7.25%,2795,4.87,3,703.59,2873475.04,0
2017-05-19,爱钱进,9567.37,10.3%,5605,31.39,2778,0.09,1801779.02,8857.58
2017-05-19,爱投资,8651.07,11.89%,4332,15.98,268,420.00,955297.91,3271.36
2017-05-19,聚优财,7899.59,8.85%,173,21.62,25,295.94,373614.31,8800.39
2017-05-19,有利网,7096.32,9.67%,21394,15.84,3839,0.02,1369980.56,4551.71
2017-05-19,金票通,6630.8,5.83%,460,3.89,11,141451.6,1123640.89,0
2017-05-19,金信网,6284.97,9.28%,816,8.29,232,330.85,707953.95,2924.29
2017-05-19,财富中国,5989.9,9.92%,956,14.50,379,69.11,592810.17,4592.91
2017-05-19,东方汇,5898.81,5.08%,828,2.58,120,118.39,296723.44,0
2017-05-19,泰然金融,5607.67,7.13%,2642,1.20,8,1024.05,185102.39,69.34
2017-05-19,积木盒子,5485.96,8.21%,14284,7.03,45388,1.52,487524.7,0
2017-05-19,十六铺金融,5404,10%,551,0.70,23,89.55,79555.28,507.35
2017-05-19,民贷天下,4950.28,5.81%,1578,0.92,1374,92.37,240683.35,-758.91
2017-05-19,温商贷,4948.69,10.44%,2637,4.02,20,226.45,539447.4,1373.14
2017-05-19,首金网,4909,8.25%,895,3.75,26,148.29,223327.69,2427.11
2017-05-19,共信赢,4830.7,12.53%,192,7.20,1,500.42,403097.66,0
2017-05-19,爱钱帮,4554.63,9.48%,1,1.60,128,11.69,195812.85,3382.37
2017-05-19,理财范,4513.12,8.53%,1519,6.35,70,80.17,304419.04,1886.22
2017-05-19,投哪网,4327.53,8.57%,8598,9.64,494,0.07,772185.34,-169.38
2017-05-19,融金宝,4239.45,12.37%,1212,2.48,52,23.22,46657.59,3514.82
2017-05-19,博金贷,4028.56,6.43%,485,2.52,68,237.11,653289.48,2490.5
2017-05-19,小微金融,3890,12.52%,1584,4.99,5,94.60,190176.07,2087.25
2017-05-19,信和大金融,3374.72,8.36%,505,8.02,192,0.00,951785.34,0
2017-05-19,鹏金所,3296.19,6.44%,300,5.53,78,46.99,803632.68,0
2017-05-19,小猪理财,3292,13.16%,1087,1.00,74,54.98,76556.53,1590.8
2017-05-19,北京众信金融,3038.11,8%,471,6.17,15,95.36,368045.32,71.57
2017-05-19,人人贷,2972.1,10.16%,17817,34.56,385,0.94,1992596.54,793.45
2017-05-19,合时代,2854.75,12.27%,1046,5.91,143,185.85,201792.18,1685.2
2017-05-19,融金所,2847.23,11.44%,2401,11.48,178,19.64,233183.28,1615.62
2017-05-19,中业兴融,2796,10.27%,790,3.96,58,349.98,174181.85,1072.08
2017-05-19,诺诺镑客,2723.87,10.7%,4378,22.50,3321,0.42,685033.69,148.66
2017-05-19,浙财理财,2659,8%,321,0.31,11,65.61,25257.68,1209.67
2017-05-19,网利宝,2642.2,8.85%,865,2.48,12,272.68,189548.99,1456.69
2017-05-19,金联储,2639,10.12%,1162,2.78,22,404.48,196100.7,778.08
2017-05-19,钱爸爸,2621.71,9.48%,879,1.41,12,5.03,99435.29,0
2017-05-19,易通贷,2599.25,12.12%,2668,5.34,19,114.70,283638.46,-166.5
2017-05-19,首E家,2596.95,6.78%,387,4.74,66,145.73,208154.17,2603.04
2017-05-19,米缸金融,2563.55,8%,1054,9.34,26,378.55,255772,0
2017-05-19,汇盈金服,2492.7,9.48%,744,3.59,34,142.05,228507.77,1141.62
2017-05-19,和信贷,2327.75,12.12%,809,0.31,37,252.34,255909.5,247.13
2017-05-19,国金宝,2299.92,8.65%,0,3.26,7,754.56,135337.44,1333.41
2017-05-19,好贷宝,2157.78,10.78%,83,2.32,56,20.72,152880.94,0
2017-05-19,小诺理财,2104.49,8.17%,831,5.93,110,0.63,411502.52,470.98
2017-05-19,e路同心,2053.6,8.04%,1291,4.39,267,6.85,114522.42,0
2017-05-19,人人聚财,2047.12,9.8%,23396,7.03,281,6.36,297571.51,608.14
2017-05-19,钱多多,2000,13.2%,713,6.00,4,427.14,253758.49,662.82
2017-05-19,石投金融,1998.23,7.88%,240,2.98,86,31.34,89205.62,1012.83
2017-05-19,普惠家,1956.37,10.59%,266,15.91,126,148.29,282490.92,0
2017-05-19,金投行,1892,6.37%,185,8.09,59,109.95,121128.51,1907.91
2017-05-19,恒易融,1827.74,12.3%,258,31.73,244,0.10,1447238.35,-717.09
2017-05-19,拓道金服,1800.95,12.28%,651,11.78,185,42.52,59486.28,1255.04
2017-05-19,多赢,1779.75,9.65%,562,0.87,11,196.26,55083.22,0
2017-05-19,信用宝,1730.11,11.96%,0,0.98,2,0,132523.57,13.07
2017-05-19,君融贷,1677.56,11.15%,1731,6.08,4,582.94,168449.18,-214.36
2017-05-19,新升贷,1666.11,11.8%,108,2.21,235,0.00,54414.03,472.03
2017-05-19,广信贷,1558.32,12.14%,907,12.81,95,0,137551.55,-98.52
2017-05-19,隆金宝,1551.86,8.42%,46,5.89,1,121.41,204969.31,0
2017-05-19,钜宝盆,1524.09,8%,576,36.00,161,17.55,600535.12,1167.74
2017-05-19,信融财富,1513.6,12.6%,1460,8.65,850,19.55,289954.43,153.77
2017-05-19,付融宝,1491.7,12.55%,4132,14.95,23,136.10,232506.16,125.43
2017-05-19,翼龙贷,1481.67,8.9%,1132,11.29,514,0,2547976.18,-7269.67
2017-05-19,金银猫,1405.11,7.47%,741,3.98,42,340.08,173802.3,439.18
2017-05-19,元宝365,1404.22,9.33%,709,1.03,188,132.18,50617.08,17.72
2017-05-19,银豆网,1400,13%,467,12.32,50,11.58,249791.81,1525.48
2017-05-19,投融家,1388.81,8.67%,0,3.38,79,0,117613.28,361.49
2017-05-19,理想宝,1370,10.1%,742,3.07,22,112.85,127618.08,450.25
2017-05-19,365易贷,1354.21,9.22%,1569,3.12,137,40.62,112981.57,93.56
2017-05-19,淘淘金,1353,7.75%,825,5.76,19,212.81,112050.87,251.11
2017-05-19,两只老虎,1340,8.85%,1815,5.66,4,248.82,67437.96,227.82
2017-05-19,海金所,1330,10.34%,105,7.39,8,621.79,49184.19,866.65
2017-05-19,城城理财,1321.32,12.07%,1025,3.60,4,321.60,142689.82,0
2017-05-19,欢乐合家,1309.15,9.09%,649,5.12,14,1074.64,144340.44,12.45
2017-05-19,银票网,1302,8.9%,659,2.97,1,480.26,71438.52,0
2017-05-19,中广核富盈,1300.1,7.44%,73,5.94,37,16.18,53197.7,493.7
2017-05-19,金投手,1300,8.69%,75,4.59,13,1631.12,37031.03,1343.72
2017-05-19,新联在线,1299.81,10.54%,67,0.27,13,599.84,307972.7,-39.87
2017-05-19,华人金融,1297.26,9.05%,555,5.43,6,268.34,196217.48,12.25
2017-05-19,多多理财,1238.15,13.18%,2340,5.29,124,103.84,72065.69,609.21
2017-05-19,钱盆网,1224.53,14.23%,607,5.22,32,90.00,83155.16,196.35
2017-05-19,地标金融,1200,10%,226,1.00,1,159.58,41695.12,80.58
2017-05-19,来存吧,1144,12.88%,285,2.98,1,1602.75,81065.45,0
2017-05-19,礼德财富,1128,12.57%,743,7.23,15,110.36,97002.24,611.87
2017-05-19,招商贷,1119,10.87%,678,4.92,13,1190.04,154526.77,143.06
2017-05-19,华赢贷,1092.85,12.49%,196,2.79,10,520.59,56692.38,0
2017-05-19,宝象金融,1086.01,8.02%,602,2.90,67,166.66,58285.91,0
2017-05-19,百金贷,1017.75,9.03%,2058,1.08,54,53.20,20820.68,490.36
2017-05-19,互融宝,1015,8.49%,543,2.14,7,141.17,102346.46,-110.95
2017-05-19,爱米理财,1007.24,9.84%,416,2.45,15,95.47,45584.49,0
2017-05-19,万盈金融,1005.53,12.14%,315,13.41,35,542.59,106099.73,694.5
2017-05-19,金融工场,991.87,8.49%,349,6.94,56,106.47,173254.27,58.23
2017-05-19,图腾贷,984.15,13.77%,1176,8.87,199,18.70,64177.7,804
2017-05-19,乐享宝,961.87,9.11%,838,5.22,50,0.87,40394.41,530.31
2017-05-19,利民网,936.26,9.46%,971,2.95,70,167.89,51551.65,311.79
2017-05-19,汇理财,905.04,7.25%,286,2.90,3,1417.43,174539.39,34.54
2017-05-19,安捷财富,905,12.58%,2365,10.40,12,687.99,186312.87,364.53
2017-05-19,口贷网,900,16.27%,264,4.67,2,234.45,70577.97,648.7
2017-05-19,小九金服,880.3,9.52%,84,3.23,141,50.21,42100.35,670.79
2017-05-19,银客网,865.49,8.95%,443,9.07,17,194.40,90287.45,-77.7
2017-05-19,分利宝,857.01,7.87%,453,0.96,6294,7.02,52424.04,-574.19
2017-05-19,祺天优贷,856.68,10.05%,567,2.26,21,895.64,50182.76,-183.16
2017-05-19,一起好,854.87,12.84%,1829,9.81,1850,2.82,110951.12,373.37
2017-05-19,丁丁贷,845.39,13.03%,640,2.54,86,16.07,42728.2,286.23
2017-05-19,玖融网,830.7,11.36%,677,23.75,46,141.13,80817.55,780.86
2017-05-19,e融所,804.94,10.65%,282,6.39,31,315.80,63794.87,644.28
2017-05-19,九斗鱼,798.95,10.28%,156,1.78,11,269.30,54382.2,354.6
2017-05-19,联连理财,796.1,9.26%,1321,0.90,935,1331.31,30974.25,-909.82
2017-05-19,金开贷,790,7.95%,159,11.44,3,1.49,73555.49,-123.04
2017-05-19,铜掌柜,789,8.36%,344,7.05,6,388.89,188112.74,827.34
2017-05-19,合拍在线,785.5,10.7%,234,6.03,6,1621.42,117720.29,288.27
2017-05-19,金宝保,780,6.06%,64,12.60,8,26.30,166452.59,0
2017-05-19,农泰金融,752.22,7.99%,457,4.07,26,29.82,77252.04,76.47
2017-05-19,联金所,736.63,11.84%,228,25.20,143,35.75,51704.64,0
2017-05-19,可溯金融,736.5,8.98%,1213,2.66,121,23.78,57894.22,289.76
2017-05-19,粤商贷,727.3,11.47%,382,2.53,5,309.45,27648.74,12.82
2017-05-19,温州贷,723.88,8.79%,324,1.75,48,104.02,34755.29,-220.42
2017-05-19,微金所,703.74,8.2%,0,3.57,15,0.00,65001.7,0
2017-05-19,乐居财富,696,14.4%,547,5.54,19,21.84,78454.71,148.39
2017-05-19,短融网,675.73,9.86%,1548,5.30,58,472.70,72466.85,201.63
2017-05-19,链链金融,674.6,6%,183,2.48,47,2.01,13063.31,392.45
2017-05-19,多融财富,672,9.43%,301,3.71,5,595.47,43297.79,0
2017-05-19,好好理财,670,13.51%,193,8.37,10,856.85,51823.35,460.65
2017-05-19,恒信易贷,668.9,13.29%,401,7.58,84,14.60,53249.29,282.07
2017-05-19,小鸡理财,667.11,7.96%,464,2.20,18,2467.39,20319.74,0
2017-05-19,领投鸟,628.46,11.32%,1,2.16,1,445.26,25969.17,203.53
2017-05-19,聚车金融,583.93,12%,105,1.00,24,81.64,14572.93,4.75
2017-05-19,融贝网,576.9,8.99%,380,6.44,35,35.17,100320.02,-158.03
2017-05-19,易港金融,576.49,10.6%,226,5.19,62,1.53,32557.82,256.65
2017-05-19,宜聚网,566,10.51%,328,2.89,28,111.12,72566.04,-591.68
2017-05-19,迷你贷,552.5,10.92%,368,1.41,16,1.44,39344.08,-147.48
2017-05-19,花果金融,551.74,7.93%,177,3.03,15,256.08,47886.05,250.12
2017-05-19,大同行,541,9.81%,227,1.59,8,220.97,28005.46,233.64
2017-05-19,杉易贷,538.68,8.28%,142,5.74,31,123.06,22007.44,239.54
2017-05-19,善林宝,536.73,6.98%,278,1.22,3982,1924.53,10643.8,0
2017-05-19,钱来网,512,9.6%,291,7.33,9,80.35,115531.85,115.87
2017-05-19,私房钱,503,12.4%,260,5.77,6,0,0,0
2017-05-19,财富派,500,7.5%,332,3.00,5,53.55,23882.75,105.36
2017-05-19,豆蔓智投,500,7%,174,1.00,33,46.98,33386.64,-502.43
2017-05-19,腾邦创投,500,15%,1,0.03,1,0.00,500.21,0
2017-05-19,摇财树,487.35,9.16%,95,2.05,12,0,28880.25,187.04
2017-05-19,钱吧,485.85,10.89%,223,10.81,75,62.89,87583.78,177.92
2017-05-19,绿化贷,478.55,10.15%,378,3.61,11,119.08,40081.11,179.38
2017-05-19,生菜金融,450.4,8.81%,239,3.66,66,0.00,38969.4,-175.66
2017-05-19,众金在线,440,13.16%,96,7.18,10,150.93,20256.01,258.46
2017-05-19,国泰惠民益贷,434.19,9.58%,422,4.34,3,654.13,37330.49,-157.48
2017-05-19,三信贷,425.34,10.46%,177,3.46,22,21.41,40977.3,0
2017-05-19,壹佰金融,415.59,11.09%,186,6.51,53,352.60,87662.18,-490.51
2017-05-19,金元宝理财,414.77,11.89%,410,11.85,10,127.85,55416.81,364.57
2017-05-19,知商金融,413.7,10.2%,313,4.80,45,383.61,46491.82,-115.59
2017-05-19,果儿金融,410.02,9.94%,122,1.05,15,20.82,10608.52,235.37
2017-05-19,乐投天下,410,9.54%,128,1.48,9,784.98,56623.36,353.13
2017-05-19,金盈所,409.7,8.57%,159,4.13,4,505.13,83055.18,387.38
2017-05-19,介贷,407.5,14.06%,85,9.46,28,115.63,25761.35,164.36
2017-05-19,旺财谷,405.18,8.29%,93,5.09,2,1883.64,51193.31,149.45
2017-05-19,钱香,400,8.6%,224,2.00,2,308.97,29932.35,3.05
2017-05-19,普汇云通,400,13.16%,101,6.63,7,1761.24,16529.4,377.8
2017-05-19,广州e贷,399.84,8.5%,0,4.89,14,0,38433.73,217.17
2017-05-19,微品金融,397,8.18%,139,2.51,2,720.00,25973.98,303.97
2017-05-19,沪商财富,388.8,13.88%,235,5.54,18,40.97,19378.2,120.01
2017-05-19,金财动力,382,9.8%,48,9.85,3,29.47,15997.78,365.38
2017-05-19,中融投,380,10.29%,211,2.92,6,584.88,32081.77,224.22
2017-05-19,麦麦提,378.1,10.33%,0,2.42,14,84.37,12665.72,99.09
2017-05-19,普惠理财,372,8.22%,56,3.46,1,654.52,23277.26,294.95
2017-05-19,合众金服,368.12,9.46%,0,10.26,4,2941.89,49048.35,376.54
2017-05-19,诚汇通,364.17,13.18%,350,8.14,23,225.48,80973.25,-64.25
2017-05-19,爱本地,362.31,11.46%,169,0.23,148,0.13,5559.87,-198.49
2017-05-19,大麦理财,360,10.03%,172,7.17,3,992.69,72852.35,-334.96
2017-05-19,壹心贷,359.2,9.03%,58,1.03,5,0,10314.5,361.93
2017-05-19,道口贷,352.18,8.12%,263,3.52,9,2.89,102161.8,-749.1
2017-05-19,广富宝,343.63,13.34%,138,5.46,43,37.32,8259.2,157
2017-05-19,超爱财,335,8.61%,109,5.64,15,100.18,21096.78,263.46
2017-05-19,沃时贷,325.58,13.52%,340,8.77,53,45.66,45831.02,122.01
2017-05-19,小狗钱钱,325,10.52%,178,2.43,11,430.33,13623.45,240.21
2017-05-19,合拍贷,324.8,11.97%,68,6.77,6,1070.41,19507.75,31.7
2017-05-19,森昊好时贷,323,8.62%,52,10.85,35,192.23,52575.88,0
2017-05-19,银狐财富,319.6,9.76%,18,5.05,6,1981.98,20546.98,227.77
2017-05-19,融租E投,310,7.86%,47,4.22,8,590.98,43592.71,-50.95
2017-05-19,前海惠农,310,8.61%,52,2.32,5,651.88,9173.32,104.29
2017-05-19,中潮金服,309,17.04%,112,10.37,9,24.55,11114.61,0
2017-05-19,诚信贷,307.87,11.13%,61,1.45,3,434.59,46033.64,-253.29
2017-05-19,金桥梁,300.92,13.21%,273,3.64,36,2.84,21344.6,68.64
2017-05-19,雪山贷,300,11.08%,176,6.17,4,1412.88,58035.88,-47.61
2017-05-19,中融宝,300,7.8%,60,4.67,3,6.15,41407.57,-86.61
2017-05-19,相融网,300,12%,56,0.81,3,8.77,8913.6,44.25
2017-05-19,天府财富,300,5.87%,71,3.33,1,635.63,46085.9,300.67
2017-05-19,寺库,299.5,9.38%,70,1.75,11,74.84,13828.39,194.26
2017-05-19,互贷网,286.67,11.21%,137,4.13,5,762.34,54863.6,188.99
2017-05-19,银巴克,285,10.18%,76,2.09,3,567.68,12926.67,86.55
2017-05-19,禧龙来,284,10.83%,23,1.01,19,1.09,7845.17,37.84
2017-05-19,易融恒信,274.4,14.38%,416,15.06,29,28.57,40254.32,154.16
2017-05-19,安心贷,272.62,9.32%,250,9.62,87,498.05,108709.7,49.18
2017-05-19,快快贷,270,9.48%,244,2.33,7,565.54,15614.85,25.06
2017-05-19,果树财富,266.63,12.59%,419,2.87,43,44.11,25973.14,76.15
2017-05-19,汇投网,263.55,10.24%,38,4.33,3,131.24,6817.43,0
2017-05-19,糖果金融,260.7,9.28%,9,4.10,19,1263.80,12037.23,56.93
2017-05-19,日日昌,250,8.8%,81,1.00,3,930.44,44374.67,177.24
2017-05-19,拉拉财富,250,8.4%,24,1.40,5,1390.70,19300,49.17
2017-05-19,普资华企,247,9.21%,339,5.58,3,277.51,71167.36,109.21
2017-05-19,后河财富,242.55,12.53%,222,9.86,49,73.23,48421.8,-69.61
2017-05-19,小猪罐子,241.11,11.46%,200,6.57,6,199.42,27303.29,-204.44
2017-05-19,禾泰财富,240.97,11.04%,30,2.08,12,235.15,6484.47,0
2017-05-19,洋葱先生,240.53,13.96%,2,10.25,212,0.01,43187.75,160.67
2017-05-19,金融社,238.8,11.78%,29,8.47,14,0.00,12089.69,105.18
2017-05-19,今日捷财,238.51,9.32%,0,8.53,10,0,29989.94,238.43
2017-05-19,筷来财 ,233.5,9.83%,55,4.22,4,521.00,12831.67,-41.65
2017-05-19,百利市,232,8.36%,37,4.27,6,665.38,7297,237
2017-05-19,星月创投,230.32,15.88%,46,12.43,4,79.97,20991.05,0
2017-05-19,城铁在融,229.5,14.84%,91,2.01,3,186.05,11584.78,0
2017-05-19,贵州网贷,228,19.62%,29,2.62,12,0.19,6521.12,92.62
2017-05-19,橙旗贷,224,11.55%,43,6.67,7,1909.52,14035.88,160.12
2017-05-19,投复利,222.5,14.96%,357,12.87,18,25.93,33166.76,47.8
2017-05-19,小微时贷,221.51,16.04%,242,7.41,25,3.17,19573.68,148.47
2017-05-19,豫商贷,220.6,15.11%,147,5.76,6,277.67,27362.34,-49.22
2017-05-19,云钱袋,217.8,8.15%,94,4.83,14,1141.21,50804.9,-263.04
2017-05-19,丰投网,208.78,8.38%,52,1.96,10,641.02,7938.03,119.65
2017-05-19,众易贷,207,14.69%,238,1.79,22,18.31,6872.68,51.15
2017-05-19,聚金资本,204.8,10.86%,299,1.49,3,128.63,16482.48,68.86
2017-05-19,邦帮堂,204.01,6.09%,68,2.94,3,571.08,144256.42,-1211.25
2017-05-19,小米贷,203.52,11.41%,74,1.74,2,877.66,5894.83,24.3
2017-05-19,财神在线,202.01,8.32%,21,2.49,5,0.00,5037.55,126.19
2017-05-19,亲亲小贷,201.87,14.62%,105,4.45,877,1.35,10787.26,0
2017-05-19,钱内助,200.22,9.99%,345,1.83,7,621.01,29894.86,-4.33
2017-05-19,工艺通,200,10.2%,49,12.00,1,1166.00,71598.68,-234.09
2017-05-19,华众金服,200,9%,79,1.00,4,0.23,6584.01,-50.38
2017-05-19,爱投金融,199.31,8.24%,74,4.08,10,1122.57,23910.53,0
2017-05-19,爱康金服,198,7%,88,2.03,1,1153.15,36060.79,-2229.79
2017-05-19,58财福,195.7,7.22%,27,1.53,3,47.94,6867.41,0
2017-05-19,微积金,193.8,11.28%,138,4.40,12,25.08,19557.6,0
2017-05-19,智融会,193,10.7%,49,1.45,4,2492.96,6884.96,176.14
2017-05-19,米利财富,190,24%,38,13.58,4,539.47,21291.85,159.51
2017-05-19,钱增增,189.6,14.45%,39,3.85,12,46.09,4519.35,113.89
2017-05-19,浙昌贷,189,11.96%,16,1.40,3,82.25,6851.96,0
2017-05-19,51帮你,188,11.89%,55,1.05,6,966.89,5175.57,77.8
2017-05-19,中兴财富,185.23,15.56%,181,7.59,28,3.14,18179.35,78.54
2017-05-19,连资贷,182.1,8%,0,1.44,19,2597.99,32799.34,-204.42
2017-05-19,信广立诚贷,181.8,8.58%,85,2.78,4,255.79,48334.4,0
2017-05-19,百财车贷,177.87,9.53%,76,2.32,23,1.98,10513.24,-59.16
2017-05-19,升值空间,176.75,11.74%,61,5.00,6,272.84,13262.37,0
2017-05-19,鱼猫金服,174.3,11%,47,3.37,4,2.51,4008.39,51.58
2017-05-19,存利网,173,10.25%,60,10.79,19,173.09,30278.68,70.47
2017-05-19,鄂汇金融,171,12.34%,186,3.69,7,177.73,14529.56,-10.26
2017-05-19,龙贷,168,8.76%,98,2.08,2,0.97,31836.93,0
2017-05-19,世纪金服,166,13.78%,41,5.33,5,34.80,12121.78,54.72
2017-05-19,融资易,165,11%,40,3.06,2,1153.81,11490.23,-352.28
2017-05-19,达人贷,164.98,14.06%,469,18.59,367,35.34,12651.95,87.98
2017-05-19,小树时代理财,157.13,16.76%,32,11.87,342,135.80,3129.82,162.16
2017-05-19,新安左右贷,155,8.2%,32,12.00,1,1.66,29854.95,93.69
2017-05-19,财火火,155,14%,52,1.39,2,0.12,2989.06,113.93
2017-05-19,万富宝,150.19,8.94%,18,3.08,6,1867.60,4093.4,139.97
2017-05-19,欧亚金融,150,11%,27,3.00,3,2292.67,7837.26,-150.25
2017-05-19,石榴壳,150,10%,10,5.00,3,2.25,2146.53,156.25
2017-05-19,稳贷网,146.5,20.63%,50,24.74,3,172.04,16034,143.01
2017-05-19,普道财富,144,8.44%,38,9.08,9,413.88,13967,64.34
2017-05-19,联投金融,143,15.78%,31,8.78,5,1435.67,3633.49,47.95
2017-05-19,掌中财富,139.9,12.46%,153,5.60,19,2.46,20091.76,33.05
2017-05-19,秒贷金融,136,8.15%,75,3.78,5,574.28,8283.64,75.07
2017-05-19,小算盘,135,9.85%,115,1.93,14,275.60,6532.4,35.09
2017-05-19,步步盈,135,8.12%,83,5.07,1,45.26,12132.07,72.19
2017-05-19,德众金融,134.11,6.92%,126,2.32,17,70.02,129411.31,-902.03
2017-05-19,金源贷,130,19.08%,36,2.57,10,9.05,8385.92,67.48
2017-05-19,智融财富,126.69,13.8%,59,2.38,4,221.12,8321.85,37.44
2017-05-19,e微贷,120.73,10.42%,69,5.61,11,618.24,18859.44,7.23
2017-05-19,宁创贷,118.56,12.97%,42,4.11,4,83.00,13817.93,0
2017-05-19,京金所,118.19,9.57%,109,4.43,8,731.08,18360.56,94.49
2017-05-19,玺鉴,118,9.31%,32,3.07,4,681.28,9742.95,94.35
