采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017-05-19,万家贷,116.2,9.99%,76,1.66,7,363.39,9282.95,36.42
2017-05-19,百合贷,115,10.09%,16,9.26,2,5065.57,32449.75,-21.63
2017-05-19,益合贷,112,21.6%,19,2.38,2,0.75,3627.2,23.66
2017-05-19,中投融,110.61,7.1%,63,1.00,2,335.86,215949.67,-136.58
2017-05-19,看看钱包,110.4,8.49%,43,3.15,1,107.16,4679.42,73.74
2017-05-19,余易贷,110,12.44%,12,3.82,6,262.20,10744.39,32.18
2017-05-19,抱财网,110,10.58%,82,5.55,2,615.33,113213.05,-643.17
2017-05-19,微邦金融,110,12.27%,20,3.95,3,2308.09,5208.87,68.32
2017-05-19,财富500,109.4,10%,34,3.00,1,556.87,5094.71,49.51
2017-05-19,固金所,109.11,11.47%,90,4.25,2,2607.22,9310.95,0
2017-05-19,微E贷,107.8,10.09%,20,1.51,7,1440.00,4811.19,27.62
2017-05-19,爱当宝,107.12,9.94%,40,2.94,6,705.06,3599.47,49.76
2017-05-19,医购贷,105,9.36%,18,5.76,2,884.50,26056.58,106.11
2017-05-19,鼎信贷,103.7,11.41%,65,6.59,9,131.06,9244.7,28.48
2017-05-19,多宝贷,101.23,9.63%,133,6.84,23,379.47,13730.3,40.09
2017-05-19,信和贷,101,14.89%,61,2.41,4,332.36,14629.59,83.71
2017-05-19,来融金服,100,10.8%,24,6.00,1,74.51,10425.3,-9.34
2017-05-19,光合种子,100,7%,3,2.83,1,5291.52,3185,101.65
2017-05-19,迪迪贷,100,12%,19,3.00,1,1.20,3654.34,103
2017-05-19,新华久久贷,100,8.7%,46,6.00,1,1527.30,22976.06,97.8
2017-05-19,锦绣钱程,100,8.5%,4,6.00,1,673.58,19039.24,-100.56
2017-05-19,融众网,100,9.9%,48,3.00,1,168.28,12422.98,-102.23
2017-05-19,新富金融,100,6.8%,47,0.67,1,7.49,11174.47,-100.87
2017-05-19,易互贷,100,15.6%,13,1.00,2,375.62,2889.65,-50.95
2017-05-19,物金所,100,11.71%,15,6.33,5,210.60,11518.89,-7.6
2017-05-19,民民贷,98,14.41%,74,6.91,9,15.56,12423.75,31.68
2017-05-19,搜搜金融网,98,12.73%,32,2.77,5,19.52,2623.45,57.37
2017-05-19,蜂投网,95,12.66%,45,5.32,4,1063.80,4452,-18.58
2017-05-19,潮人贷,95,12%,41,3.00,3,933.29,4634.17,35.95
2017-05-19,狮子座金融,92.5,22.38%,34,5.03,3,36.99,20070.82,13.27
2017-05-19,四海众投,91.9,9.8%,39,2.04,5,210.57,4421.29,50.67
2017-05-19,金牌理财,90.45,13.94%,51,2.23,7,242.86,4156.21,59.64
2017-05-19,好收益,90,0.13%,100,2.95,3,954.57,10571.47,-59.27
2017-05-19,利好贷,90,14.29%,0,5.73,5,41.98,5543.42,48.44
2017-05-19,赢贷通,90,14%,14,6.00,1,4.00,7245.95,52.94
2017-05-19,利得行,88.05,9.06%,0,2.77,5,858.21,7841.16,-99.62
2017-05-19,e葱金融,87.5,8.29%,22,0.86,2,79.58,1829.35,-116.7
2017-05-19,财富智汇,86,15.97%,0,2.93,3,0,7769.66,-23.65
2017-05-19,力帆善融,86,7.5%,28,4.00,1,0.10,4197.31,88.15
2017-05-19,民投金服,85.28,7.12%,136,0.95,29,0.90,17210.21,32.06
2017-05-19,阜阳金融网,85.1,17.65%,54,2.94,1,1353.57,3746.28,-8.76
2017-05-19,长久贷,85,14.91%,28,5.35,3,1543.66,10370.09,21.38
2017-05-19,赶贷网,84,9.63%,34,2.40,11,634.48,3516.76,47.83
2017-05-19,迅泊达,83.9,10.8%,34,0.50,3,28.10,6519.72,25.24
2017-05-19,车财网,83.5,14.3%,69,6.84,5,90.11,3998.31,-4.26
2017-05-19,奇乐融,83.41,7.13%,41,0.77,21,0.44,15523.36,83.85
2017-05-19,钱道网,83.2,13.39%,182,6.59,2,903.28,10956.13,0
2017-05-19,58车贷,82.97,13.15%,96,6.77,8,182.19,10335.89,34.33
2017-05-19,喔喔贷,82,9.33%,18,4.57,5,2.56,12922.07,-81.21
2017-05-19,徽金猫,80,12%,16,3.75,9,721.44,3436.39,56.76
2017-05-19,58红利,80,9.75%,9,11.25,4,194.48,9065.33,85.29
2017-05-19,众贷汇,79,15.96%,20,3.15,9,2.72,4560.97,-24
2017-05-19,惠金贷,78,16.8%,33,8.98,8,92.84,7877.87,22.81
2017-05-19,助商贷,76.94,14.67%,74,3.53,10,61.47,5466.99,68.6
2017-05-19,顺顺贷,72.4,13.85%,20,5.44,3,33.21,1221.68,57.23
2017-05-19,久信e贷,71.3,16%,24,1.00,7,0.03,2897.41,0.99
2017-05-19,律信智投,70.8,13%,22,1.00,5,5.60,1975.39,-19.46
2017-05-19,合盘贷,70,8.4%,31,3.00,1,917.11,28093.94,63.77
2017-05-19,大众贷,70,15%,53,2.66,4,1708.75,6902.49,22.26
2017-05-19,商富贷,69.58,11.38%,24,2.53,8,130.82,4297.17,-16.41
2017-05-19,优车融,69,13%,27,1.00,6,30.49,2137.61,9.44
2017-05-19,惠投无忧,68.8,9.63%,15,5.16,9,0.31,7924.61,47.88
2017-05-19,优投在线,68.5,11.55%,4,3.59,7,0.00,5612.35,30.18
2017-05-19,新富创投,65.4,11.19%,61,5.44,12,330.21,8791.48,5.37
2017-05-19,360金融,61.5,15%,60,3.00,4,22.62,9480.78,-15.24
2017-05-19,悦享金服,61.34,10.64%,45,1.34,4,190.29,2420.14,-24.12
2017-05-19,方元金服,61,7.44%,34,5.90,3,937.33,12626.33,48.11
2017-05-19,冠腾贷,60,13%,7,1.00,2,0.00,2871.44,29.54
2017-05-19,众联财富,59,12.59%,23,2.58,3,140.71,803.19,12.49
2017-05-19,简易贷,57.9,12.65%,20,2.88,6,581.29,3651.01,-0.32
2017-05-19,汇付四海,57.24,8%,13,1.50,1,7.78,2174.12,-29.78
2017-05-19,易贷在线,56,18.12%,28,1.17,5,92.20,1971.39,13.2
2017-05-19,中融通贷,55,12.91%,13,5.46,2,348.47,5683.57,-18.72
2017-05-19,量子金融,53.6,12.73%,26,2.86,9,10.14,4448.76,-5.67
2017-05-19,建工E贷,52.4,13.2%,12,1.00,2,1.00,779.26,52.98
2017-05-19,金瑞龙,52.19,11.63%,44,18.24,10,204.29,36193.93,28.72
2017-05-19,大时贷,52,15.62%,11,4.62,3,419.18,8206.92,16.47
2017-05-19,为为贷,50.45,13.56%,18,2.60,4,489.25,4105.86,21.42
2017-05-19,小平贷,50.25,9.08%,17,2.07,11,16.72,3199.91,29.49
2017-05-19,雪莲借贷,50,13%,34,6.00,1,95.51,4054.2,32.71
2017-05-19,前海领投,50,10.5%,19,0.67,1,30.20,1132.27,50.29
2017-05-19,金海贷,50,13.6%,54,6.00,1,2.15,37635.96,-109.51
2017-05-19,赢众投,50,9.8%,5,3.00,1,73.00,8994.54,-31.86
2017-05-19,汉沃财富,50,10.8%,14,1.80,3,503.33,3122.54,34.05
2017-05-19,车富88,49.7,10.99%,24,5.99,6,4.27,4143.64,24.85
2017-05-19,闲钱宝,49,11.17%,20,4.04,4,52.41,5865.11,-204.33
2017-05-19,点点财富,49,13.68%,32,3.00,5,197.58,5310.82,23.82
2017-05-19,财富N次方,48,12%,45,1.00,3,309.69,-2416.83,-17.17
2017-05-19,锐盈财富,47,10.6%,24,4.00,2,3.45,3573.08,12.56
2017-05-19,房易贷,45,13.11%,27,9.33,2,2.50,9737.5,25.21
2017-05-19,前海广深发,44.1,14.61%,37,8.51,4,67.75,7286.17,18.03
2017-05-19,车赚,44,15%,33,0.97,10,0.85,1104.98,15.68
2017-05-19,恒利网,42.2,10.21%,58,2.79,9,22.92,2160.36,16.5
2017-05-19,快捷财富,41.3,16.99%,19,2.40,3,39.33,1100.93,42.75
2017-05-19,龙城易贷,40.4,16.6%,43,4.02,3,30.20,2785.01,13.04
2017-05-19,协众金融,40,12%,20,1.83,4,724.38,1151.5,-0.15
2017-05-19,钱来也,40,12%,5,1.00,1,93.30,545.5,24.24
2017-05-19,就爱金融,40,8.4%,13,4.00,1,109.21,1633.76,41.12
2017-05-19,钱保姆,40,11.5%,36,0.81,4,1159.81,42521,-1138.82
2017-05-19,泰山金融,40,10%,4,12.00,1,7094.48,11433.64,41.78
2017-05-19,找银子,39.9,8.85%,17,2.96,5,602.26,1415.79,15.48
2017-05-19,鲁金所,39.7,7.95%,22,1.45,7,206.67,2889.84,25.57
2017-05-19,微镇,37.27,9.89%,28,4.72,11,3.90,7017.68,-40.06
2017-05-19,惠车贷,36.8,15%,54,1.51,5,208.67,1341.72,6.93
2017-05-19,泛湾天域,36.5,14.27%,35,5.55,2,219.50,4070.64,-13.51
2017-05-19,瑞涛财富,35,14.4%,12,1.00,1,2.24,596.07,0
2017-05-19,寻贷网,33.27,9.34%,6,2.63,3,1190.76,5045.74,-422.2
2017-05-19,汉金所,33.2,8.12%,0,1.67,5,2.22,44672.78,-75.51
2017-05-19,贷贷网,33,12.41%,62,8.82,4,3584.95,3776.57,13.41
2017-05-19,长汇财富,33,12.55%,28,1.55,3,312.79,2359.06,-34.12
2017-05-19,汇财贷,33,10.82%,6,1.89,2,2600.52,3573,28.54
2017-05-19,微易贷,32.4,18.22%,65,9.81,51,63.66,6971.86,0.42
2017-05-19,莆商贷,30,13.75%,5,7.50,2,1335.20,1447.14,2.19
2017-05-19,惠富天下,30,14.47%,17,8.33,3,0,0,-0.44
2017-05-19,蜀丰财富,30,10%,23,1.00,6,0.13,1889.3,-1.8
2017-05-19,蜂缘财富,30,11.67%,7,2.17,2,2529.71,3139.84,9.73
2017-05-19,融信网,30,10.8%,0,3.00,1,0,33777.19,30.41
2017-05-19,海星宝理财,29.98,12.75%,37,7.52,6,302.13,3163.09,-2.37
2017-05-19,金福财富,29.1,13.02%,30,7.15,3,218.41,4901.4,5.23
2017-05-19,真鑫贷,27.18,11.4%,39,1.00,4,187.57,187.77,-34.65
2017-05-19,爱上贷,27,15.06%,28,1.00,14,31.02,895.96,7.52
2017-05-19,日融财富,26,8.83%,21,0.94,4,83.49,1741.26,11.59
2017-05-19,天恩世诚,25.8,9.4%,34,2.40,5,0.06,2719.57,13.55
2017-05-19,飞特金融,25,12.46%,19,2.20,3,41.31,1664.99,0.21
2017-05-19,珠宝平安贷,25,9.2%,10,1.00,2,216.14,4074.36,14.94
2017-05-19,分钱网,25,12%,5,3.00,3,0.00,8817.09,-91.75
2017-05-19,前沿财富,24.5,17.73%,23,7.10,6,8.25,4958.91,-1.21
2017-05-19,金益金服,24,10.8%,28,1.00,3,0.34,-22374.35,24.22
2017-05-19,跃龙财富,24,18%,16,2.67,5,1.62,1136.62,6.12
2017-05-19,中再融,23.84,11.33%,31,4.06,3,825.30,4118.16,-6.03
2017-05-19,亿亿理财,23,8.6%,27,3.00,2,0.00,1748.88,-32.81
2017-05-19,码头益,21.26,9.23%,3,3.47,3,4782.85,1304.57,8.11
2017-05-19,熊猫贷,21,16.2%,4,1.00,3,22.67,2167.79,-0.2
2017-05-19,178网贷,20,15%,22,3.00,1,147.58,230.32,0.46
2017-05-19,收获宝,20,12%,8,12.00,1,6836.30,4175.64,-2.92
2017-05-19,天天财富,20,9%,1,4.51,2,9552.77,4673.03,18.68
2017-05-19,亿钱贷,20,12.2%,6,3.00,1,1330.57,1393,-19.82
2017-05-19,易汇人人,20,8.25%,5,6.60,3,665.42,1334.69,6.58
2017-05-19,温易贷,20,13.8%,9,1.00,1,384.00,606.9,0
2017-05-19,钱富通,20,12%,39,1.00,2,255.24,6147.2,-12.37
2017-05-19,创乐财富,20,12%,3,0.33,1,0,4333.24,-11.14
2017-05-19,益投网贷,20,15%,10,3.00,1,3.50,1817.49,-11.16
2017-05-19,你好贷,20,9.5%,25,6.00,1,75.70,4069.92,20.95
2017-05-19,堆金网,20,13%,9,6.00,1,1837.54,5482.89,4.91
2017-05-19,融金桥,20,12%,5,12.00,2,821.63,4425.99,20.87
2017-05-19,OK贷 ,17.61,10%,1,14.78,1,12.12,14488.81,-105.8
2017-05-19,金柜贷,17.5,8.37%,6,6.46,4,68.00,1286.44,-11.68
2017-05-19,捷创贷,16.8,13.12%,13,1.00,5,1132.59,541.18,4.65
2017-05-19,振源财富,16,18%,2,3.00,2,0.00,1324.63,0.81
2017-05-19,一一贷,15.1,6.31%,17,2.05,6,105.91,6013.88,5.65
2017-05-19,产融贷,15,14%,1,3.00,1,0.00,470.63,5.24
2017-05-19,迈信金融,15,8%,3,6.00,1,6358.25,1402.51,15.28
2017-05-19,奔宝贷,13.61,14%,21,6.67,1,4726.56,2789.16,4.67
2017-05-19,有喜财富,13.4,10.8%,10,8.24,3,0.30,3711.08,-13.57
2017-05-19,小白菜理财,11.9,9.16%,6,0.83,2,1375.00,449.54,2.85
2017-05-19,惠农时贷,11.62,10%,11,12.00,3,9.67,946.51,7.91
2017-05-19,易享贷,11,7.82%,10,0.35,3,49.12,3534.45,-108.92
2017-05-19,快联财富,10.43,15%,23,1.00,1,0.44,66.09,10.56
2017-05-19,如意财富,10,13.2%,5,3.00,1,62.00,989.73,0.11
2017-05-19,粒子财富,9.8,13%,8,2.00,2,0.45,1634.27,3.02
2017-05-19,首信创投,8.5,12.18%,19,1.00,2,1.23,1402.88,-83.62
2017-05-19,网投网,7.98,14.11%,33,12.93,31,0.09,14606.89,-81.25
2017-05-19,千金e诺,7.8,8%,0,3.00,2,2065.88,1091.37,-12.18
2017-05-19,点石金融,5,10%,5,3.00,1,124.38,1034.6,-20.5
2017-05-19,利融网,5,12%,20,1.00,1,1464.40,1170.31,-13.05
2017-05-19,速贷100,4,15%,2,5.00,1,1229.11,1093.09,4.15
2017-05-19,创绩宝,4,10.8%,3,6.00,1,0.00,2002.26,0.76
2017-05-19,前金所,3.6,8%,12,0.26,36,0.29,5454.09,-42.29
2017-05-19,花生米富,3.28,13.39%,10,0.95,9,0.00,7687.25,0
2017-05-19,聚宝珠,3,18%,3,0.23,1,1281.27,664.79,-64.51
2017-05-19,优聚投,3,15%,53,0.23,1,704.39,1396.93,0
2017-05-19,聚融在线,2.94,8.6%,5,3.00,2,10.76,574.56,1.42
2017-05-19,易天贷,2.01,12%,21,0.77,1,0.00,1798.41,-3.73
2017-05-19,中恒宝,1.55,5%,1,0.30,2,0.00,12833.1,-10.14
2017-05-19,麻袋理财,1.18,6.97%,10512,12.10,4,4.81,731643.34,-1031.14
2017-05-19,口袋理财,1.1,8.42%,6594,0.47,8,0.13,389230.81,-1658.4
2017-05-19,丰泽财富,0.06,15%,2,1.26,2,0.00,1538.54,-5.34
2017-05-19,中瑞财富,0,0%,0,0.00,0,0.00,79593.95,0
2017-05-19,钱贷网,0,0%,0,0.00,0,0.00,18964.36,0
2017-05-19,钱程在线,0,0%,0,0,0,0,7361.09,0
2017-05-19,天天贷,0,0%,0,0,0,0,5.51,0
2017-05-19,宁安贷,0,0%,4,0,0,0,2262.59,-3.27
2017-05-19,车能贷,0,0%,0,0,0,0,6185,-119.35
2017-05-19,91快车,0,0%,0,0,0,0,0,0
2017-05-19,猴子理财,0,0%,0,0,0,0,992.86,-128.92
2017-05-19,网筹金融,0,0%,0,0,0,0,2424.61,-27.85
2017-05-19,百捷金融,0,0%,0,0,0,0,5398.6,-0.77
2017-05-19,福银票号,0,0%,0,0,0,0,164229.65,-859.65
2017-05-19,国湘资本,0,0%,0,0,0,0,1170.75,0
2017-05-19,创融在线,0,0%,0,0,0,0,1144.06,-4.33
2017-05-19,贷未来,0,0%,0,0,0,0,3185.72,-11.89
2017-05-19,冀金宝,0,0%,0,0,0,0,4742.18,-1.27
2017-05-19,京贷网,0,0%,0,0,0,0,955.02,-10.17
2017-05-19,乐升易贷,0,0%,0,0,0,0,842.58,-0.14
2017-05-19,当天金融,0,0%,0,0,0,0,0,0
2017-05-19,微信贷,0,0%,0,0,0,0,2568.42,-6.09
2017-05-19,脐橙金融,0,0%,0,0,0,0,6330.05,-55.57
2017-05-19,来财街,0,0%,0,0,0,0,0,0
2017-05-19,黄鹤金服,0,0%,0,0,0,0,0,0
2017-05-19,亿企聚财,0,0%,0,0,0,0,1052.98,-0.06
2017-05-19,聚众金融,0,0%,0,0,0,0,88.35,-3.14
2017-05-19,壹宝贷,0,0%,0,0,0,0,22184.5,-191.1
2017-05-19,聚投融,0,0%,0,0,0,0,0,0
2017-05-19,艺点理财,0,0%,0,0,0,0,4562.93,0
2017-05-19,阿朋贷,0,0%,0,0,0,0,17520.02,-216.29
2017-05-19,中国融信贷,0,0%,0,0,0,0,-20.9,-0
2017-05-19,投促金融,0,0%,0,0,0,0,13181.58,-3.86
2017-05-19,票票喵,0,0%,0,0,0,0,18584.65,-199.84
2017-05-19,百融网,0,0%,0,0,0,0,167.78,0
2017-05-19,69贷,0,0%,0,0,0,0,0,0
2017-05-19,金海财富,0,0%,0,0,0,0,1012.64,-7.59
2017-05-19,宏金多,0,0%,0,0,0,0,139.9,0
2017-05-19,钱海湾,0,0%,0,0,0,0,0,0
2017-05-19,金控网贷,0,0%,0,0,0,0,22983.51,-91.71
2017-05-19,医界贷,0,0%,0,0,0,0,62634.28,-364.71
2017-05-19,智佳金服,0,0%,187,0,0,0,4747.66,-89.21
2017-05-19,睿信财富,0,0%,4,0,0,0,113.41,0
2017-05-19,吉贷网,0,0%,0,0,0,0,0,0
2017-05-19,云回通宝,0,0%,0,0,0,0,5184.99,-59.52
2017-05-19,笨小孩理财,0,0%,4,0,0,0,4390.8,-27.85
2017-05-19,可乐贷,0,0%,0,0,0,0,51.97,0
2017-05-19,亿信天合,0,0%,0,0,0,0,337.22,0
2017-05-19,汇投资,0,0%,0,0,0,0,0,0
2017-05-19,隆泰贷,0,0%,0,0,0,0,2522.1,-27.02
2017-05-19,孔方兄,0,0%,0,0,0,0,0,0
2017-05-19,沃联财富,0,0%,6,0,0,0,440.26,-20.97
2017-05-19,投融贷,0,0%,0,0,0,0,77.7,0
2017-05-19,诚甄财富,0,0%,0,0,0,0,1189.08,-33.9
2017-05-19,珠宝贷,0,0%,0,0,0,0,94558.31,-1035.08
2017-05-19,联保投资网,0,0%,0,0,0,0,155.74,-10.3
2017-05-19,上网贷,0,0%,0,0,0,0,0,0
2017-05-19,滴滴理财,0,0%,0,0,0,0,2241.62,-104.74
2017-05-19,票金所,0,0%,0,0,0,0,3534.59,0
2017-05-19,易e贷,0,0%,0,0,0,0,5015.28,-21.03
2017-05-19,今金贷,0,0%,0,0,0,0,498.88,0
2017-05-19,好房理财网,0,0%,0,0,0,0,1690.74,-0.5
2017-05-19,万贝贷,0,0%,0,0,0,0,1815.64,-1
2017-05-19,票据客,0,0%,0,0,0,0,489.75,-49.99
2017-05-19,千企贷,0,0%,0,0,0,0,347.94,0
2017-05-19,点银网,0,0%,2,0,0,0,767.06,0
2017-05-19,合信金融,0,0%,0,0,0,0,949.15,-16.91
2017-05-19,创赢易贷,0,0%,0,0,0,0,0,0
2017-05-19,民信贷   ,0,0%,0,0,0,0,11359.79,-17.93
2017-05-19,利聚网,0,0%,0,0,0,0,2567.87,-18.34
2017-05-19,苏丰创投,0,0%,0,0,0,0,0,0
2017-05-19,甬e贷,0,0%,0,0,0,0,1502.56,-14.41
2017-05-19,钱途在线,0,0%,0,0,0,0,408.67,0
2017-05-19,永利宝,0,0%,366,0,0,0,36730.75,-30.35
2017-05-19,YES金融,0,0%,0,0,0,0,2070.99,-30.4
2017-05-19,紫枫信贷,0,0%,0,0,0,0,2530.21,-9.27
2017-05-19,众可贷,0,0%,0,0,0,0,1791.82,-3.6
2017-05-19,淘收益,0,0%,7,0,0,0,9301.68,-32.03
2017-05-19,九信金融,0,0%,0,0,0,0,7859.07,-102.31
2017-05-19,开鑫金服,0,0%,0,0,0,0,984663.22,-4141.19
2017-05-19,投储在线,0,0%,0,0,0,0,645.36,-0.56
2017-05-19,融易投,0,0%,29,0,0,0,2122.58,-15.93
2017-05-19,东方车贷,0,0%,0,0,0,0,2829.43,-59.57
2017-05-19,众房宝,0,0%,63,0,0,0,5779.15,-122.71
2017-05-19,沙小僧,0,0%,0,0,0,0,0,0
2017-05-19,百泉贷,0,0%,0,0,0,0,19919.75,-210.04
2017-05-19,艺融网,0,0%,0,0,0,0,886.22,0
2017-05-19,贷贷巴,0,0%,0,0,0,0,0,0
2017-05-19,上雨创投,0,0%,0,0,0,0,224.39,0
2017-05-19,新华贷,0,0%,0,0,0,0,0,0
2017-05-19,国惠金融,0,0%,0,0,0,0,0,0
2017-05-19,宝点网,0,0%,0,0,0,0,34224.6,-191.67
2017-05-19,草根新贷,0,0%,0,0,0,0,1168.37,-9.35
2017-05-19,小宝金服,0,0%,0,0,0,0,0,0
2017-05-19,贝贝创投,0,0%,0,0,0,0,0,0
2017-05-19,财雨网,0,0%,15,0,0,0,1826.98,-90.62
2017-05-19,神仙有财,0,0%,0,0,0,0,0,0
2017-05-19,钱诚理财,0,0%,0,0,0,0,1703.83,-50.5
2017-05-19,青岛汇泉贷,0,0%,0,0,0,0,45791.56,0
2017-05-19,宏鑫宝,0,0%,0,0,0,0,507.67,-0.07
2017-05-19,微金在线,0,0%,0,0,0,0,2163.3,-35.33
2017-05-19,贴身贷,0,0%,0,0,0,0,583.19,-5.65
2017-05-19,企额贷,0,0%,0,0,0,0,29984.19,-738.1
2017-05-19,平平贷,0,0%,0,0,0,0,277.99,-7.15
2017-05-19,道口金融网,0,0%,0,0,0,0,8386.62,-68.72
2017-05-19,慈E贷,0,0%,0,0,0,0,3174.54,-34.09
2017-05-19,平安理财网,0,0%,0,0,0,0,5608.46,-101.67
2017-05-19,万家兄弟,0,0%,0,0,0,0,0,-304.6
2017-05-19,轩辕财富,0,0%,0,0,0,0,7.99,0
2017-05-19,白银巷子,0,0%,0,0,0,0,3558.08,-44.81
2017-05-19,周转贷,0,0%,0,0,0,0,-5.89,-0.22
2017-05-19,小油菜,0,0%,0,0,0,0,18090.21,-254.98
2017-05-19,便民投,0,0%,0,0,0,0,470.12,-23.14
2017-05-19,兆金所,0,0%,0,0,0,0,8285.45,-48
2017-05-19,冠e通,0,0%,0,0,0,0,570757.06,-6212.53
2017-05-19,金陵贷,0,0%,0,0,0,0,731.15,-43.76
2017-05-19,互惠理财网,0,0%,0,0,0,0,18204,-428.75
2017-05-19,随时融,0,0%,0,0,0,0,50.16,-1.59
2017-05-19,渣丰投资,0,0%,0,0,0,0,0,0
2017-05-19,四达投资,0,0%,0,0,0,0,1659.22,-7.69
2017-05-19,1号钱庄,0,0%,0,0,0,0,39.12,-0.06
2017-05-19,光彩玖玖,0,0%,17,0,0,0,12919.53,-57.18
2017-05-19,有融网,0,0%,0,0,0,0,42947.27,-1073.25
2017-05-19,国诚金融,0,0%,0,0,0,0,1654.33,-222.42
2017-05-19,幸福贷,0,0%,0,0,0,0,0,0
2017-05-19,一点钱  ,0,0%,0,0,0,0,7499.73,0
2017-05-19,佰易贷,0,0%,0,0,0,0,3538.01,-34.39
2017-05-19,逍遥贷,0,0%,0,0,0,0,0,0
2017-05-19,飞鸟金融,0,0%,0,0,0,0,1087.26,0
2017-05-19,e速贷,0,0%,0,0,0,0,220.22,-174.48
2017-05-19,天玑汇富,0,0%,0,0,0,0,8415.21,-193.15
2017-05-19,瑞银创投,0,0%,48,0,0,0,12461.12,-79.63
2017-05-19,易融贷,0,0%,0,0,0,0,0,0
2017-05-19,首鸿财富,0,0%,0,0,0,0,1252.26,-0.3
2017-05-19,车易贷,0,0%,0,0,0,0,19484.24,-107.16
2017-05-19,富仁金融,0,0%,0,0,0,0,0,0
2017-05-19,皖都金融,0,0%,0,0,0,0,2127.74,0
2017-05-19,满益网,0,0%,0,0,0,0,19507.32,-324.15
2017-05-19,私房投,0,0%,0,0,0,0,386.89,-6.83
2017-05-19,广群金融,0,0%,44,0,0,0,349.16,0
2017-05-19,点融网,0,0%,68,0,0,0,145399.43,-50.47
2017-05-19,易米阳光,0,0%,0,0,0,0,1025.03,-0.17
2017-05-19,融裕贷,0,0%,0,0,0,0,669.91,-50.44
2017-05-19,宏信创投,0,0%,0,0,0,0,0,0
2017-05-19,人众金服,0,0%,0,0,0,0,68696.55,-34.62
2017-05-19,文宝保,0,0%,0,0,0,0,38842.96,0
2017-05-19,广裕贷,0,0%,0,0,0,0,284.96,-0.92
2017-05-19,理财去,0,0%,0,0,0,0,6551.61,-20.96
2017-05-19,你我贷,0,0%,0,0,0,0,1678778.67,-5077.71
2017-05-19,易宝金融,0,0%,0,0,0,0,3398.38,-3.67
2017-05-19,蛙蛙在线,0,0%,0,0,0,0,908.27,-40.58
2017-05-19,润合金融,0,0%,0,0,0,0,2314.13,-1.8
2017-05-19,贷金所,0,0%,0,0,0,0,13928.96,-70.12
2017-05-19,金统贷,0,0%,2,0,0,0,126.42,0
2017-05-19,91旺财,0,0%,0,0,0,0,70054.72,-2777.95
2017-05-19,慧融财富,0,0%,0,0,0,0,175.13,-32.11
2017-05-19,睿银财富,0,0%,0,0,0,0,0,0
2017-05-19,多多智富,0,0%,0,0,0,0,0,0
2017-05-19,诚投在线,0,0%,0,0,0,0,5012.33,-75.5
2017-05-19,资本在线,0,0%,0,0,0,0,71954.05,-653.98
2017-05-19,合力贷,0,0%,0,0,0,0,22897.65,-178.1
2017-05-19,意投财富,0,0%,0,0,0,0,0,0
2017-05-19,皮城金融,0,0%,0,0,0,0,65785.97,-2.82
2017-05-19,好借好贷,0,0%,0,0,0,0,0,0
2017-05-19,友金所,0,0%,0,0,0,0,211460.82,-266.28
2017-05-19,易BANK,0,0%,0,0,0,0,6372.82,0
2017-05-19,立业贷,0,0%,0,0,0,0,17268.16,-95.67
2017-05-19,贷乐网,0,0%,0,0,0,0,0,0
2017-05-19,中盛金服,0,0%,0,0,0,0,0,0
2017-05-19,汇贷天下,0,0%,0,0,0,0,10560.26,-22.47
2017-05-19,信财贷,0,0%,0,0,0,0,1513.39,-0.4
2017-05-19,鑫华士,0,0%,0,0,0,0,0,0
2017-05-19,贷贷兴隆,0,0%,20,0,0,0,53556.98,-40.87
2017-05-19,科瑞财富,0,0%,0,0,0,0,2067.95,-0.18
2017-05-19,融魔方,0,0%,0,0,0,0,0,0
2017-05-19,派派猪理财,0,0%,0,0,0,0,5311.41,-204.3
2017-05-19,正能贷,0,0%,0,0,0,0,617.25,-12.38
2017-05-19,中青金服福,0,0%,0,0,0,0,3717.16,0
2017-05-19,e租宝,0,0%,0,0,0,0,0,0
2017-05-19,小鹅e贷,0,0%,0,0,0,0,25.5,0
2017-05-19,车融资,0,0%,0,0,0,0,3786.03,-0.08
